id,original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,genre_names,profit
476565,Una Comedia Macabra,Una Comedia Macabra,es,2017-09-21,0.6,3,6.0,0,0,0,Released,False,"Comedy, Horror",0
415869,Demented,Demented,en,1994-01-01,0.6,0,0.0,0,0,95,Released,False,Horror,0
148977,Savage Spirit,Savage Spirit,en,2006-02-03,0.6,1,3.0,0,0,86,Released,False,Horror,0
649219,Sock 5: Three Skins Without Men,Sock 5: Three Skins Without Men,en,2012-08-21,0.6,0,0.0,0,0,10,Released,False,"Animation, Horror",0
16456,The Crow: Wicked Prayer,The Crow: Wicked Prayer,en,2005-05-13,12.858,146,3.4,0,0,99,Released,False,"Action, Fantasy, Horror, Thriller",0
737515,The Children of Golgotha,The Children of Golgotha,de,2019-11-09,0.6,1,2.0,0,0,110,Released,False,Horror,0
656233,Brady's Bargain,Brady's Bargain,en,1983-05-01,0.6,0,0.0,0,0,22,Released,False,"Comedy, Fantasy, Horror",0
783546,Hideout,Hideout,en,2021-11-09,2.39,12,5.4,0,0,114,Released,False,"Crime, Horror",0
474714,Semur: Şeytanın Kabilesi,Semur: Şeytanın Kabilesi,tr,2017-08-18,0.6,0,0.0,0,0,0,Released,False,"Horror, Thriller",0
918749,In the Devil's Courthouse,In the Devil's Courthouse,en,2011-01-01,0.6,0,0.0,0,0,0,Released,False,Horror,0
16307,The Wicker Man,The Wicker Man,en,1973-12-01,9.989,1026,7.3,810000,0,94,Released,False,Horror,-810000
550300,Elfen Lied - Regenschauer,Elfen Lied Special,ja,2005-04-05,5.365,6,8.2,0,0,25,Released,False,"Action, Animation, Drama, Horror, Romance, Science Fiction",0
356677,Just Desserts: The Making of 'Creepshow',Just Desserts: The Making of 'Creepshow',en,2007-10-22,3.226,10,6.3,0,0,92,Released,False,"Documentary, Horror",0
473466,Latched,Latched,en,2017-09-10,1.426,8,6.4,0,0,17,Released,False,"Drama, Horror",0
574190,Sever,Sever,en,2018-01-01,1.531,1,4.0,0,0,97,Released,False,Horror,0
194215,Slasher,Slasher,de,2007-11-10,1.023,5,5.1,0,0,0,Released,False,Horror,0
84612,The Urge to Kill,The Urge to Kill,en,1989-01-19,0.9,2,5.0,0,0,82,Released,False,"Horror, Science Fiction",0
739788,Insecticide,Insecticide,en,2020-08-18,0.6,1,6.0,0,0,4,Released,False,Horror,0
27545,The Wasp Woman,The Wasp Woman,en,1959-10-30,5.303,74,4.4,50000,0,61,Released,False,"Horror, Science Fiction",-50000
222858,A Bucket of Blood,A Bucket of Blood,en,1995-09-12,1.855,12,5.0,0,0,83,Released,False,"Comedy, Horror, Thriller, TV Movie",0
